SkripsiAbstrak,SkripsiAuthor,SkripsiTitle,SkripsiURI,SkripsibyDate,SkripsibyKeyword
"Banyaknya pengguna sepeda motor otomatis yang sudah menggunakan sistem
injeksi, membuat kebutuhan informasi mengenai perawatan sepeda motor
dibutuhkan. Ada tiga kebutuhan yang belum terpenuhi oleh pengguna sepeda
motor otomatis berinjeksi. Pertama, pengguna motor menginginkan informasi
tentang perawatan sepeda motor yang digunakannya. Kedua, informasi yang
disampaikan mudah untuk digunakan dan interaktif. Ketiga, informasi yang
disampaikan dapat dibuat dalam aplikasi. Untuk memenuhi kebutuhan-kebutuhan
tersebut, perlu dibuat sebuah aplikasi informasi mengenai perawatan sepeda
motor. Aplikasi ini dibuat menggunakan bahasa pemograman Java, dan
menggunakan Adobe Photoshop untuk pengeditan gambar. Metode yang
digunakan untuk membuat aplikasi ini adalah Metode Luther dengan metode
pengumpulan data dan pengembangan sistemnya. Pembuatan aplikasi ini mampu
memberikan informasi kepada pengguna sepeda motor untuk melakukan
perawatan.","Muhammad Arif,Andrew Fiade,Viktor Amrizal",Aplikasi perwatan sepeda motor otomatis berinjeksi berbasis mobile,"/dspace/browse?type=author&value=Muhammad+Arif,/dspace/browse?type=author&value=Andrew+Fiade,/dspace/browse?type=author&value=Viktor+Amrizal,http://repository.uinjkt.ac.id/dspace/handle/123456789/27240,/dspace/handle/123456789/160",22-Jul-2015,aplikasi;perawatan sepeda motor;java;adobe photoshop
"Hypermarket adalah bentuk pasar modern yang sangat besar, dalam segi luas tempat dan barang-barang yang diperdagangkan. (Hendri Maaruf, 2005).Dalam sepuluh tahun terakhir bisnis ritel modern dengan format hypermarket semakin menjamur, khususnya di daerah Tangerang Selatan . Peritel besar atau hypermarket seperti Giant, Carrefour, Hypermart, Lottemart menjadi tempat belanja yang dapat menarik minat pengunjung. Dengan jumlah pembangunan hypermarket yang semakin banyak, setiap hypermarket mulai menyusun beberapa strategi untuk menarik minat masyarakat, salah satunya dengan mengadakan promosi-promosi produk. Dari hasil kuesioner (angket) yang penulis kumpulkan dari 4 hypermarket di Tangerang Selatan, dari 50 responden, sebanyak 64% masyarakat sering berbelanja di hypermarket, 54% masyarakat pernah mengalami kesulitan dalam memilih tempat belanja khususnya hypermarket dan 82% masyarakat membutuhkan aplikasi yang dapat memberikan informasi mengenai promosi produk hypermarket di Tangerang Selatan. Untuk membantu masyarakat memperoleh data promosi produk dengan cepat, dibutuhkan suatu algoritma yang dapat memproses pencarian kata kunci produk yang diinputkan. Algoritma merupakan urutan langkah-langkah logis penyelesaian masalah yang disusun secara sistematis. (Rinaldi Munir,2002). Penggunaan algoritma Knuth Morris Pratt (KMP) dalam aplikasi ini karena algoritma ini cukup efektif dalam melakukan pencarian berdasarkan pencocokan string (string matching). Aplikasi ini berbasis mobile web sehingga dapat berjalan di browser mobile seluruh platform device seperti android, blackberry, iphone, windows phone atau sistem operasi lainnya yang dirancang dengan JQuery Mobile. Metode Pengembangan sistem dalam penelitian ini menggunakan Rapid Application Development (RAD). Bahasa pemrograman yang digunakan adalah PHP yang didukung dengan database MySQL. Tujuan dari penelitian ini adalah untuk memudahkan pengguna dalam mencari informasi hypermarket terutama dari segi pencarian informasi promosi produk.","Fitria Agista Santi,Arini,Dewi Khairani",Pembuatan aplikasi hypermarket di Tangerang Selatan dengan menerapkan algoritma knuth morris pratt untuk mencari data promosi produk berbasis mobile web,"/dspace/browse?type=author&value=Fitria+Agista+Santi,/dspace/browse?type=author&value=Arini,/dspace/browse?type=author&value=Dewi+Khairani,http://repository.uinjkt.ac.id/dspace/handle/123456789/27179,/dspace/handle/123456789/160",9-Jul-2015,hypermarket;promosi produk;knuth morris pratt;jquery mobile;PHP;RAD;MySQL
"Internet saat ini sudah menjadi sarana komunikasi yang penting dan efektif
di seluruh dunia dan banyak bidang yang menggunakannya. Aplikasi e-learning
dalam bidang pendidikan, e-commerce dalam bidang bisnis, dan egovernment
dalam bidang pemerintahan sudah banyak diimplementasikan dan
terbukti memberi manfaat untuk masyarakat. Bidang kesehatan pun kini sudah
melirik potensi internet ini. Sekarang ini, internet menjadi sarana pembelajaran
dan pertukaran informasi yang berguna untuk penyedia layanan kesehatan dan
pengguna layanan kesehatan. Berdasarkan perkembangan teknologi dan
kebutuhan masyarakat akan akses layanan kesehatan yang praktis dan efisien,
lahirlah konsep aplikasi pelayanan kesehatan sebagai jawaban atas tuntutan
tersebut. Aplikasi pelayanan kesehatan ini bertujuan untuk meningkatkan akses,
efisiensi, efektivitas, dan kualitas dari proses medis dan bisnis, yang melibatkan
organisasi pelayanan medis (rumah sakit atau klinik), praktisi medis (dokter)
laboratorium dan pasien sebagai konsumen. Dalam proyek akhir ini dibuat sebuah
aplikasi yang dapat meningkatkan kemudahan untuk mengakses pelayanan
medis, efisiensi dan efektifitas dari segi waktu dan biaya, serta kualitas dan
kuantitas dari informasi kesehatan, sehingga pada akhirnya dapat meningkatkan
kualitas kesehatan pasien dan kualitas kesehatan masyarakat secara luas. Dalam
pengembangan sistem ini, penulis menggunakan metodologi RAD. Dengan
tahapan perencanaan sistem, analisis sistem, desain sistem, dan implementasi
sistem. Tools yang digunakan dalam penelitian ini menggunakan UML (Unified
Modelling Language). Dengan perancangan menggunakan 4 diagram yaitu, use
case diagram, activity diagram, class diagram,dan sequence diagram. Penelitian
ini menghasilkan sebuah Aplikasi Pelayanan Kesehatan Rumah Sakit yang dapat
digunakan oleh Rumah Sakit untuk memudahkan proses pendaftaran konsultasi,
pengiriman hasil diagnosa dan hasil lab. Dengan pengujian menggunakan Black
Box.","Suci Putri Herizona,A. Hanifah Setyaningrum,Hendra Bayu Suseno",Rancang bangun aplikasi pelayanan rumah sakit: studi kasus rumah sakit bersalin OMNI Pulomas,"/dspace/browse?type=author&value=Suci+Putri+Herizona,/dspace/browse?type=author&value=A.+Hanifah+Setyaningrum,/dspace/browse?type=author&value=Hendra+Bayu+Suseno,http://repository.uinjkt.ac.id/dspace/handle/123456789/27302,/dspace/handle/123456789/160",27-Jul-2015,UML;RAD;aplikasi berbasis web
"Indonesia sebagai negara yang kaya akan situs pariwisata menjadi daya tarik tersendiri bagi penggiat perjalanan wisata. Perjalanan wisata tersebut dapat dilakukan seorang diri ataupun berkelompok dengan atau tanpa menggunakan jasa travel agent.Bagi wisatawan yang secara independen mengunjungi objek pariwisata, tentunya harus menggali lebih dalam informasi mengenai objek-objek dan elemen pendukungnya seperti transportasi dan akomodasi. Minimnya informasi tersebut, akan menjadi satu permasalahan bagi wisatawan terutama bagi mereka yang baru pertama kali mengunjungidaerah tertentu. Untuk meminimalisir permasalahan tersebut,suatu aplikasi panduan wisata dan pencarian objek wisata terdekat dapat memberikan bantuan kepada wisatawan dalam menemukan informasi yang dibutuhkan dan memilih objek wisata yang akan dikunjunginya. Aplikasi pemandu wisata tersebut tidak lepas kaitannya dengan pemanfaatan teknologi Location Based Service (LBS) yang salah satu layanannya dapat memberikan output berupa jarak antara dua objek. Google Maps merupakan peta digital yang umum sekali digunakan untuk pencarian suatu lokasi. Namum, dalam hal penaviagasian, formula seperti Spherical Law of Cosines masih digunakan untuk menghitung jarak geodetik dari satu lokasi ke lokasi lain. Spherical Law of Cosinesmerupakan satu persamaan yang dapat digunakan untuk menghitung jarak geodetik antara dua lokasi. Persamaan ini dianggap cukup akurat walaupun mengabaikan kontur Bumi yang sebenarnya. Namun dari hasil pengujian, didapatkan fakta bahwa Spherical Law of Cosines hanya dapat merakingkan saja dan tidak dapat dijadikan acuan sebagai jarak sebenarnya yang mempertimbangkan kotur Bumi sebenarnya dan simpang pada rute yang dilalui.","Nurul Hikmah Agustin,Nurhayati,Dewi Khairani",Penerapan spherical law of cosines pada aplikasi pemilihan objek wisata berbasis mobile web: studi kasus pariwisata Jawa Timur,"/dspace/browse?type=author&value=Nurul+Hikmah+Agustin,/dspace/browse?type=author&value=Nurhayati,/dspace/browse?type=author&value=Dewi+Khairani,http://repository.uinjkt.ac.id/dspace/handle/123456789/27310,/dspace/handle/123456789/160",28-Jul-2015,pariwisata;objek wisata;akomodasi;transportasi;Jawa Timur;spherical law of cosines;location based service
"Seleksi penerimaan siswa baru merupakan salah satu program tahunan
yang dilaksanakan oleh SMP Adzkia Islamic School dalam merekrut perserta
didik. Permasalahan yang dihadapi SMP Adzkia Islamic School dalam proses
seleksi penerimaan siswa baru adalah ketidak seragaman penguji dalam
menetapkan nilai peserta yang disebabkan variabel kriteria bersifat kualitatif.
Selain itu, sistem seleksi yang masih manual mengakibatkan lamanya proses
penentuan kelulusan peserta. Pada penelitian ini, Penulis mengusulkan penerapan
Fuzzy Multi Attribute Decision Making dengan metode Simple Additive Weighting
sebagai sistem alternatif yang dapat digunakan untuk menentukan peserta terbaik
berdasarkan kriteria yang telah ditentukan. Metode penelitian yang digunakan
adalah metode incremental sedangkan bahasa pemprograman yang digunakan
adalah PHP dengan MySQL sebagai databasenya. Hasil penelitian ini menyatakan
bahwa dari 20 peserta yang dijadikan sample kemudian dipilih 15 peserta terbaik,
maka hasil yang didapat adalah sistem menempatkan peserta terbaik pada urutan
teratas dengan ketentuan tingkat kemampuan ekonominya lebih rendah,
kemampuan baca qur'annya sangat sempurna dan direkomendasikan dalam tes
wawancara.","Achmad Akrom,A. Hanifah Setyaningrum,Nurul Faizah Rozy",Penerapan fuzzy multi attribute decision making dengan metode simple additive weighting pada seleksi penerimaan siswa baru : Studi kasus Smp Adzkia Islamic School,"/dspace/browse?type=author&value=Achmad+Akrom,/dspace/browse?type=author&value=A.+Hanifah+Setyaningrum,/dspace/browse?type=author&value=Nurul+Faizah+Rozy,http://repository.uinjkt.ac.id/dspace/handle/123456789/30275,/dspace/handle/123456789/160",4-Feb-2016,FMADM;SAW;Fuzzy;Inkremen;PHP;MySQL
,"Irfan Fadmara,Nia Kumaladewi",Sistem informasi manajemen pemasaran berbasis web pada CV Ihyaa&Co,"/dspace/browse?type=author&value=Irfan+Fadmara,/dspace/browse?type=author&value=Nia+Kumaladewi,http://repository.uinjkt.ac.id/dspace/handle/123456789/5373,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2010","pengawasan aktifitas pemasaran dan penjualan, sistem informasi manajemen pemasaran, waterfall,"
,"Vera Ariestyaningsih,Fitri Mintarsih",Media promosi berbasis E-marketing untuk meningkatkan pemasaran produk air conditioner (AC) )studi kasus: CV. Agung Multi Jasa),"/dspace/browse?type=author&value=Vera+Ariestyaningsih,/dspace/browse?type=author&value=Fitri+Mintarsih,http://repository.uinjkt.ac.id/dspace/handle/123456789/5199,/dspace/handle/123456789/160",0112-01-11030;1649 TI s,"UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011"
"ii, 101 hal.; 28 cm.","Rikaro Ramadi,Husni Teja Sukmana",Pembuatan aplikasi history perjalanan Gps tracker berbasis web pada handphone menggunakan J2ME,"/dspace/browse?type=author&value=Rikaro+Ramadi,/dspace/browse?type=author&value=Husni+Teja+Sukmana,http://repository.uinjkt.ac.id/dspace/handle/123456789/5183,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011","J2ME, ASP.NET/C#, SQLServer, Gps, handphone, extreme programming"
"xix, 184 hal.; 28 cm","Lucky Bimantoro,Ria Hari Gusmita",Visualisasi rasi bintnag berbasis multimedia: studi kasus: planetarium Jakarta,"/dspace/browse?type=author&value=Lucky+Bimantoro,/dspace/browse?type=author&value=Ria+Hari+Gusmita,http://repository.uinjkt.ac.id/dspace/handle/123456789/5210,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011","zodiak, visualisasi, multimedia, rasi bintang"
"ii, 114 hal.; 28 cm.","Ade Amalia Nazri,Herlino Nanang",Perancangan aplikasi sistem penetuan pemintaan siswa berdasarkan minat dan kemampuan akademik siswa berbasis web (studi kasus: SMA Negeri 1 Tangerang),"/dspace/browse?type=author&value=Ade+Amalia+Nazri,/dspace/browse?type=author&value=Herlino+Nanang,http://repository.uinjkt.ac.id/dspace/handle/123456789/5190,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011","aplikasi pada bidang peminatan, SDLC waterfall model."
