SkripsiAbstrak,SkripsiAuthor,SkripsiTitle,SkripsiURI,SkripsibyDate,SkripsibyKeyword 
"xVi, 154 hal.; 28 cm.","Zaenal Muttaqin,Herlino Nanang",Pembuatan aplikasi enkripsi mengunakan metode advance encryption standard dan rivest shamir adleman; studi kasus CV Maharata Mandiri Promo,"/dspace/browse?type=author&value=Zaenal+Muttaqin,/dspace/browse?type=author&value=Herlino+Nanang,http://repository.uinjkt.ac.id/dspace/handle/123456789/21681,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta: Fakultas Sains dan Teknologi, 2010","kriptografi, enkripsi, Advance Encryption Standard, Rivest Shamir Adleman, Enkripsi simetri/asimetri."
"i, 132 hal.; 28 cm.","Imam Sutanto,Viva Arifin,Wahyudi",Penerapan easy intrusion detction system (easyids) sebagai pemberi peringatan dini kepada administrator sistem Jaringan : studi kasus PT. PLN Persero Distribusi Jakarta Raya dan Tangerang,"/dspace/browse?type=author&value=Imam+Sutanto,/dspace/browse?type=author&value=Viva+Arifin,/dspace/browse?type=author&value=Wahyudi,http://repository.uinjkt.ac.id/dspace/handle/123456789/6028,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2010","snort, network development life cylce, open source, intruder, easyids (easy intrusion detection system), firewall"
"ii, 106 hal.; 22cm.","Angga Saputra,Eko Syamsuddin Hasrito",Perancangan aplikasi Informasi rumah sakit wilayah DKI Jakarta Berbasis mobile technology,"/dspace/browse?type=author&value=Angga+Saputra,/dspace/browse?type=author&value=Eko+Syamsuddin+Hasrito,http://repository.uinjkt.ac.id/dspace/handle/123456789/21833,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta: Fakultas Sains dan Teknologi, 2011","Peta digital, rumah sakit, mobile phone"
"xii, 172 hal.; 28 cm","Yadi Suryadi,Bakri La Katjong,Arini",Pengembangan sistem informasi pemetaan Sekolah Menengah Atas Negeri (SMAN) pada Dinas Pendidikan Jakarta Selatan; studi kasus di Dikmenti kotamadya Jakarta Selatan,"/dspace/browse?type=author&value=Yadi+Suryadi,/dspace/browse?type=author&value=Bakri+La+Katjong,/dspace/browse?type=author&value=Arini,http://repository.uinjkt.ac.id/dspace/handle/123456789/6059,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2010","mysql, php, sig, pemetaan, web"
ii: 92 hal.; 24 cm,"Bambang Andri Wibowo,Viva Arifin,Victor Amrizal",Rancangan aplikasi ticketing penyampaian permasalahan terkait hardware dan software oleh user kepada supporting unit (studi kasus Divisi Helpdesk IT-PT. Bank Danamon Indonesia Tbk),"/dspace/browse?type=author&value=Bambang+Andri+Wibowo,/dspace/browse?type=author&value=Viva+Arifin,/dspace/browse?type=author&value=Victor+Amrizal,http://repository.uinjkt.ac.id/dspace/handle/123456789/5947,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2010","ticketing, trouble ticket, helpdesk ticket"
"i, 129 hal.; 28 cm.","Ariefati Wiratama,Arini",Penerapan stateful firewall pada arsitektur dual-homed host studi kasus : PT PLN (Persero) APL Mampang,"/dspace/browse?type=author&value=Ariefati+Wiratama,/dspace/browse?type=author&value=Arini,http://repository.uinjkt.ac.id/dspace/handle/123456789/21671,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta: Fakultas Sains dan Teknologi, 2010","stateful firewall, dual-homed host, IPCop"
iii. 100  hal.; 22 cm.,"Fahmi Rahman,Yusuf Durrachman,Nia Kumaladewi",Rancang bangun aplikasi inventarisasi barang menggunakan label barcode : studi kasus PT. Solusi Periferal,"/dspace/browse?type=author&value=Fahmi+Rahman,/dspace/browse?type=author&value=Yusuf+Durrachman,/dspace/browse?type=author&value=Nia+Kumaladewi,http://repository.uinjkt.ac.id/dspace/handle/123456789/5898,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011","Cetak Label, Barcode, Sistem inventatis"
,"Iyas,Sarip Hidayatullah,Hendra Bayu Suseno",Implementasi sistem penjualan online berbasis E-Commerce pada usaha rumahan Griya Unik Wanita,"/dspace/browse?type=author&value=Iyas,/dspace/browse?type=author&value=Sarip+Hidayatullah,/dspace/browse?type=author&value=Hendra+Bayu+Suseno,http://repository.uinjkt.ac.id/dspace/handle/123456789/5753,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011","mysql, sdlc (sistem devlopment life cycle), html, php,"
"ii, 185 hal.; 28 cm.","Radenal Andika,Khodijah Hulliyah",Penerapan CI (codeigniter) dalam pengembangan sistem informasi manajemen surat dan pengarsipan (studi kasus: PT. Semen Padang),"/dspace/browse?type=author&value=Radenal+Andika,/dspace/browse?type=author&value=Khodijah+Hulliyah,http://repository.uinjkt.ac.id/dspace/handle/123456789/5586,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011","surat, framework, codeigniter, object-oriented"
"xiv, 76  hal.; 28 cm.","Fauzi,Beni Hendrawanto,Siti Ahmiatri Saptari",Analisis data seismogram untuk menentukan parameter magnitude gempabumi : studi kasus gempabumi padang 30 september 2009,"/dspace/browse?type=author&value=Fauzi,/dspace/browse?type=author&value=Beni+Hendrawanto,/dspace/browse?type=author&value=Siti+Ahmiatri+Saptari,http://repository.uinjkt.ac.id/dspace/handle/123456789/5825,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2010","magnitude dan rumus empiris, seismogram, gempabumi"
"xviii, 129 hal.; ilus.; 28 cm","Desty Widiati Kurnianingsih,Yusuf Durrachman",Perancangan aplikasi 3 dimensi bunga kering berbasis multimedia pada CV. Bonsai Interior,"/dspace/browse?type=author&value=Desty+Widiati+Kurnianingsih,/dspace/browse?type=author&value=Yusuf+Durrachman,http://repository.uinjkt.ac.id/dspace/handle/123456789/5053,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011","multimedia, 3D interaktif"
,"Indah Dwijayanthi Nirmala,Arini,Rusdianto Rustam",Pengembangan perangkat lunak sistem informasi akademik SD Standar Nasional rajawati 08 Pagi berbasis Jaringan Wlan dengan menggunakan infrastruktur AD-HOC,"/dspace/browse?type=author&value=Indah+Dwijayanthi+Nirmala,/dspace/browse?type=author&value=Arini,/dspace/browse?type=author&value=Rusdianto+Rustam,http://repository.uinjkt.ac.id/dspace/handle/123456789/5355,/dspace/handle/123456789/160",0110-09-6755;1169 TI s,"UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011"
,"Jejen Jaenudin,Tabah Rosyadi",Pengembangan aplikasi penentuan waktu shalat dan arah kiblat menggunakan metode ephemeris berbasis java mobileprograming (studi kasus penggunaan ilmu astronomi islam pada lajnah Falakiyah Al-Husiniyah Jakarta),"/dspace/browse?type=author&value=Jejen+Jaenudin,/dspace/browse?type=author&value=Tabah+Rosyadi,http://repository.uinjkt.ac.id/dspace/handle/123456789/5989,/dspace/handle/123456789/160","Jakarta: UIN Syarif Hidayatullah Fakultas Sains Teknologi, 2008",Pengembangan aplikasi
ii: 147 hal.; 24 cm,"Siti Nurrofi'ah,Victor Amrizal",Sistem pakar Kitab Undang-Undang Hukum Pidana terhadap kriminalitas (studi kasus: Sat Reskrim Polres Metro Jakarta Selatan),"/dspace/browse?type=author&value=Siti+Nurrofi%27ah,/dspace/browse?type=author&value=Victor+Amrizal,http://repository.uinjkt.ac.id/dspace/handle/123456789/5565,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011","sistem pakar, KUHP, kriminalitas"
,"Novita Yuniarti,Yusuf Durrachman,Nida'ul Hasanati",Pemgembangan aplikasi E-Commerce pada Toko Batik Shop,"/dspace/browse?type=author&value=Novita+Yuniarti,/dspace/browse?type=author&value=Yusuf+Durrachman,/dspace/browse?type=author&value=Nida%27ul+Hasanati,http://repository.uinjkt.ac.id/dspace/handle/123456789/5782,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2010","content managment system, e-commerce, waterfall, real time development life cycle"
"iv, 211 hal.; 22 cm.","Hadi Supriadi,Khodijah Hulliyah",Perancangan aplikasi untuk mendiaknosa awal gangguan pada kehamilan dengan pendekatan sistem pakar (studi kasus: Akbid Swakarsa),"/dspace/browse?type=author&value=Hadi+Supriadi,/dspace/browse?type=author&value=Khodijah+Hulliyah,http://repository.uinjkt.ac.id/dspace/handle/123456789/5048,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011","sistem pakar, Expert System Development Life Cycle, Visual Studio 2008, kehamilan"
,"Yazidanyastuti,Yusuf Durrachman,Zainuddin Bey Fananie",Aplikasi Analisis Halaman Website pada mesin pencari google (search engine google),"/dspace/browse?type=author&value=Yazidanyastuti,/dspace/browse?type=author&value=Yusuf+Durrachman,/dspace/browse?type=author&value=Zainuddin+Bey+Fananie,http://repository.uinjkt.ac.id/dspace/handle/123456789/6076,/dspace/handle/123456789/160",0111-10-9323;1470 TI s,"UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011"
,"Eggy Ramadhani Djunaedi,Viva Arifin,Herlino Nanang",Konsep rancang bangun aplikasi E-traveling berbasis customer relationship management menggunakan rich internet applicaion ; studi kasus; Bayu Buana Travel Services,"/dspace/browse?type=author&value=Eggy+Ramadhani+Djunaedi,/dspace/browse?type=author&value=Viva+Arifin,/dspace/browse?type=author&value=Herlino+Nanang,http://repository.uinjkt.ac.id/dspace/handle/123456789/5869,/dspace/handle/123456789/160",0111-05-8822;1364 TI s,"UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011"
"xxii,  257 hal.;ilus.; 28 cm.","Siti Nurbaity,Viva Arifin,Husni Teja Sukmana",Pengembangan sistem Informasi kepegawaian (simpeg) berbasis web : studi kasus Subag Administrasi Kepegawaian Pusat UIN Syarif Hidayatullah Jakarta,"/dspace/browse?type=author&value=Siti+Nurbaity,/dspace/browse?type=author&value=Viva+Arifin,/dspace/browse?type=author&value=Husni+Teja+Sukmana,http://repository.uinjkt.ac.id/dspace/handle/123456789/5827,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2010","kepegawaian, simpeg, sistem informasi"
"xxi, 161 hal.; 28 cm","Zico Guistianto,Bakri Katjong",Analisa dan perancangan sistem informasi surveilans deman berdarah barbasis sistem informasi geografis di Kecamatan Pamulang,"/dspace/browse?type=author&value=Zico+Guistianto,/dspace/browse?type=author&value=Bakri+Katjong,http://repository.uinjkt.ac.id/dspace/handle/123456789/5574,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011","website, spasial, surveilans, dbd"
ii: 91 hal.; 24 cm,"Nurul Farhanah,Herlino Nanang",Pengembangan aplikasi remote spesifikasi desktop berbasis client server,"/dspace/browse?type=author&value=Nurul+Farhanah,/dspace/browse?type=author&value=Herlino+Nanang,http://repository.uinjkt.ac.id/dspace/handle/123456789/5369,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011","client server, speksifikasi komputer, remote"
"ii, 128 hal.; 28 cm.","Siti Fatimah,Eko Syamsuddin",Desain Virtual set menggunakan metode kamera sintesis pada news studio,"/dspace/browse?type=author&value=Siti+Fatimah,/dspace/browse?type=author&value=Eko+Syamsuddin,http://repository.uinjkt.ac.id/dspace/handle/123456789/5526,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2010","virtual reality, virtual set, kamera sintetis, tiga demensi"
"xvii,126 hal.;ilus.; 28 cm","Anom Try Putranto,Yusuf Durrachman",Visualisasi 3 demensi struktur rangka pada manusia,"/dspace/browse?type=author&value=Anom+Try+Putranto,/dspace/browse?type=author&value=Yusuf+Durrachman,http://repository.uinjkt.ac.id/dspace/handle/123456789/4966,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011","Struktur rangka, Multimedia, 3 Dimensi, Visualisasi"
"xviii, 151 hal.; 28 cm.","Rini,Qurrotul Aini",Rancang bangun sistem informasi pengelolaan dokumen Kredit Pemilikan Rumah (KPR) Syariah : studi kasus BTN Syariah Cabang Tangerang),"/dspace/browse?type=author&value=Rini,/dspace/browse?type=author&value=Qurrotul+Aini,http://repository.uinjkt.ac.id/dspace/handle/123456789/4964,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011","UML, KPR Syariah, pengelolaan dokumen, RAD (Rapid Application Development), UML (Unified Modeling Language)"
"xviii, 159 hal.; 28 cm","Arief Kunto Wibisono,Yusuf Durachman",Analisis dan Pembuatan aplikasi akuntansi berbasis WEB pada IIUC,"/dspace/browse?type=author&value=Arief+Kunto+Wibisono,/dspace/browse?type=author&value=Yusuf+Durachman,http://repository.uinjkt.ac.id/dspace/handle/123456789/4920,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011","Analisa, Perancangan, Aplikasi, Akuntansi, Web."
,"Irvan Febriansyah,Viva Arifin",Simulasi lampu gedung terkontrol melalui intranet,"/dspace/browse?type=author&value=Irvan+Febriansyah,/dspace/browse?type=author&value=Viva+Arifin,http://repository.uinjkt.ac.id/dspace/handle/123456789/5509,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011","intranet, driver pengendali lampu, sensor fotodioda"
,"Galih Nabihi,Syafedi Syafei",Web security service application by using web service and ron shamir adleman digital signature with message digest 5 algorithm (case study: finance information system rancangan kerja dan anggaran-satuan kerja perangkat daerah kota Malang),"/dspace/browse?type=author&value=Galih+Nabihi,/dspace/browse?type=author&value=Syafedi+Syafei,http://repository.uinjkt.ac.id/dspace/handle/123456789/5493,/dspace/handle/123456789/160",0112-01-10965;1655 TI s,"UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011"
"ii, 95 hal.; 22cm.","Giri Patmono,Arini",Simulasi sistem remote access IPSEC berbasis perangkat lunak IKEv2 Strongswan,"/dspace/browse?type=author&value=Giri+Patmono,/dspace/browse?type=author&value=Arini,http://repository.uinjkt.ac.id/dspace/handle/123456789/4906,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2010","remote access VPN, IPsec remote access problem, IKEv2, IKEv2
strongSwan, simulasi jaringan, virtualisasi VMware."
"v, 223 hal 22 cm.","Muhammad Syah Reza,Qurratul Aini",Aplikasi terapi untuk anak autis dengan metode lovaas berbasis multimedia interaktif : studi kasus SD Yayasan Pantara,"/dspace/browse?type=author&value=Muhammad+Syah+Reza,/dspace/browse?type=author&value=Qurratul+Aini,http://repository.uinjkt.ac.id/dspace/handle/123456789/4822,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011","Multimedia, Autis, Terapi, Lovaas."
"xxi, 96 hal.; 28 cm.","Billy Yanuardi,Bakri La Katjong",Pengembangan aplikasi alumni berbasis web pada SMK Nasional Depok,"/dspace/browse?type=author&value=Billy+Yanuardi,/dspace/browse?type=author&value=Bakri+La+Katjong,http://repository.uinjkt.ac.id/dspace/handle/123456789/4760,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2011","web hosting, system development life cycle (sdlc), watterfall, aplikasi web"
,"Rosa Rakhtyani,Arini",Pengukuran performansi vidio conferensce berbasis internet protocol,"/dspace/browse?type=author&value=Rosa+Rakhtyani,/dspace/browse?type=author&value=Arini,http://repository.uinjkt.ac.id/dspace/handle/123456789/6030,/dspace/handle/123456789/160","Jakarta : UIN Syarif Hidayatualah Fakultas Sains Teknologi, 2009",Pengukuran performansi
"viii, 104 hal.; 28 cm.","Faruq Tataran,Imam M.Shofi",Aplikasi panduan kata dalam mencari ayat Al-Qur'an juz 30 berbasis Java Mobile,"/dspace/browse?type=author&value=Faruq+Tataran,/dspace/browse?type=author&value=Imam+M.Shofi,http://repository.uinjkt.ac.id/dspace/handle/123456789/1178,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta: Fakultas Sains Dan Teknologi, 2010",Searching ir information tetrieval sequential search;J2ME
ii: 104 hal.; 24 cm.,"Dian Maya Sari,Herlino Nanang",Aplikasi pembelajaran virtual 3D ginjal manusia pada prodi biologi fakultas Sains dan Teknologi Universitas Islam Negeri Syarif Hidayatullah Jakarta (studi kasus: Manusia Program Studi Biologi),"/dspace/browse?type=author&value=Dian+Maya+Sari,/dspace/browse?type=author&value=Herlino+Nanang,http://repository.uinjkt.ac.id/dspace/handle/123456789/1161,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta: Fakultas Sains Dan Teknologi, 2010","Aplikasi, Multimedia, Simulasi, Animasi , Teknologi."
ii: 117 hal.; 24 cm.,"Sigit Wahyudi,Herlino Nanang",Pembuatan aplikasi digital library (studi kasus perpustakaan sains dan teknologi Universitas Islam Negeri Syarif Hidayatullah Jakarta),"/dspace/browse?type=author&value=Sigit+Wahyudi,/dspace/browse?type=author&value=Herlino+Nanang,http://repository.uinjkt.ac.id/dspace/handle/123456789/1156,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta: Fakultas Sains Dan Teknologi, 2010","Digital, Library, Digital Library, SDLC."
xxxiv: 215 hal.; 28 cm.,"Arief Rachmanto,Ahmad Fathurrozi",PENGEMBANGAN SESSION INITIATION PROTOCOL SERVER SEBAGAI SARANA KOMUNIKASI VOICE OVER INTERNET PROTOCOL (STUDI KASUS: METRO TV JAKARTA,"/dspace/browse?type=author&value=Arief+Rachmanto,/dspace/browse?type=author&value=Ahmad+Fathurrozi,http://repository.uinjkt.ac.id/dspace/handle/123456789/747,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta: Fakultas Sains dan Teknologi, 2008","VoIP, SIP, Asterisk, FreePBX, telekomunikasi."
"xix,126 hal 28 cm.","Muhammad Arif Harahap,Viva Arifin",Perancangan aplikasi pendistribusian pulsa fisik dan elektrik berbasis web (studi kasus : Visionic Celular),"/dspace/browse?type=author&value=Muhammad+Arif+Harahap,/dspace/browse?type=author&value=Viva+Arifin,http://repository.uinjkt.ac.id/dspace/handle/123456789/958,/dspace/handle/123456789/160",Uin Syarif Hidayatullah.Fakultas Sains Dan Teknologi,"Pulsa Elektrik, Pulsa Fisik, Aplikasi, Pendistribusian;Pembelajaran, Interaktif, Bahasa Arab"
viii: 119 hal.; 28 cm.,"Irfan Faris Farhan,Bakrie La Katjong, MT., M.Kom",SISTEM VOTING ELEKTRONIK BERBASIS WEB PADA PEMILIHAN PRESIDEN BADAN EKSEKUTIF MAHASISWA UNIVERSITAS ISLAM NEGERI JAKARTA,"/dspace/browse?type=author&value=Irfan+Faris+Farhan,/dspace/browse?type=author&value=Bakrie+La+Katjong%2C+MT.%2C+M.Kom,http://repository.uinjkt.ac.id/dspace/handle/123456789/778,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta: Fakultas Sains dan Teknologi, 2008","Sistem Voting Elektronik, Pemilihan Presiden, BEM UIN, Pemilu."
"xx, 160 hal.; 28 cm.","Ariyadi,A'ang Subiyakto,Viva Arifin",Rancang bangun perangkat lunak tes kompetensi bidang komputer Calaon Pegawai Negeri Sipil (CPNS)  polri berbasis local area network: studi kasus; biro pembinaan karir markas besar kepoliasian negara Republik Indonesia,"/dspace/browse?type=author&value=Ariyadi,/dspace/browse?type=author&value=A%27ang+Subiyakto,/dspace/browse?type=author&value=Viva+Arifin,http://repository.uinjkt.ac.id/dspace/handle/123456789/1162,/dspace/handle/123456789/160","Uin Syarif Hidayatullah Jakarta: Fakultas Sains Dan Teknologi, 2010","Tes kompetensi bidang komputer, Metode pengacakan soal, Local area network, Waterfall."
"xv, 138 hal.; ilus.; 28 cm.","Kiki Maria Al Qibtiyah,Khodijah Huliyah",Implementasi kriptografi menggunakan algoritma RSA untuk mengamankan SMS Berbasis J2ME,"/dspace/browse?type=author&value=Kiki+Maria+Al+Qibtiyah,/dspace/browse?type=author&value=Khodijah+Huliyah,http://repository.uinjkt.ac.id/dspace/handle/123456789/991,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta: Fakultas Sains Dan Teknologi, 2011","SMS, RSA, J2ME, Enkripsi, Dekripsi"
i: 152 hal.; 24 cm.,"Nur Ulfah Sam,Viktor Amrizal",Pembuatan aplikasi pembelajaran ajaran materi pengolahan citra dengan menggunakan teknik konvolusi berbasis Multimedia : studi kasus program studi teknik informatika fakultas sains teknologi uin syarif hidayatullah jakarta,"/dspace/browse?type=author&value=Nur+Ulfah+Sam,/dspace/browse?type=author&value=Viktor+Amrizal,http://repository.uinjkt.ac.id/dspace/handle/123456789/876,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta: Fakultas Sains Dan Teknologi,2010","Multimedia, pembelajaran, Vaughan, konvolusi, citra digital."
i: 147 hal.; 24 cm.,"Dawimah,Zainuddin Bey Fananie",Aplikasi pelayanan Informasi akademik menggunakan protokol Wap : studi kasus madrasah aliyah al hikmah 2 brebes,"/dspace/browse?type=author&value=Dawimah,/dspace/browse?type=author&value=Zainuddin+Bey+Fananie,http://repository.uinjkt.ac.id/dspace/handle/123456789/866,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta: Fakultas Sains Dan Teknologi, 2010","WAP, Layanan Informasi Akademik"
i: 109 hal.; 24 cm,"Muhammad Satria Nugraha,Arini",Implementasi intrusion detection system untuk filtering paket data : studi kasus Yayasan Pembinaan Pendidikan Nusantara,"/dspace/browse?type=author&value=Muhammad+Satria+Nugraha,/dspace/browse?type=author&value=Arini,http://repository.uinjkt.ac.id/dspace/handle/123456789/5546,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta : Fakultas Sains dan Teknologi UIN Syarif Hidayatullah, 2010","intrusion detection system, snort, base"
iv.; 187 hal.; 28 cm.,"Faisal Nurachman,Fitri Mintarsih",Rancang bangun sistem pakar berbasis web untuk penghitungan dan pembagian harta warisan menurut hukum islam,"/dspace/browse?type=author&value=Faisal+Nurachman,/dspace/browse?type=author&value=Fitri+Mintarsih,http://repository.uinjkt.ac.id/dspace/handle/123456789/696,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta: Fakultas Sains Dan Teknologi, 2010","sistem pakar, warisan, faraid, waterfall, forward chaining, depth first search, kaidah produksi, hukum islam"
iii. 111  hal.; 22 cm.,"Gemar Ahmad Jembarnata,Zulfiandri",Rancang bangun aplikasi trouble ticket management berbasis web dengan menggunakan expertsystem : studi kasus BPPT,"/dspace/browse?type=author&value=Gemar+Ahmad+Jembarnata,/dspace/browse?type=author&value=Zulfiandri,http://repository.uinjkt.ac.id/dspace/handle/123456789/1377,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta: Fakultas Sains dan Teknologi, 2011","pelaporan masalah, efektifitas kerja, sistem trouble ticket management,
web, sistem pakar."
,"Rangga Aditya Poetra,Qomarul Huda",Aplikasi pendukung keputusan untuk memilih studi tingkat lanjut (studi kasus sekolah menengah Atas Muhammadiyah 25 ),"/dspace/browse?type=author&value=Rangga+Aditya+Poetra,/dspace/browse?type=author&value=Qomarul+Huda,http://repository.uinjkt.ac.id/dspace/handle/123456789/6038,/dspace/handle/123456789/160","Dari banyak pendekatan yang dipakai dalam sistem pendukung keputusan, seperti
aplikasi pendukung keputusan khususnya untuk permasalahan penyaranan
pemilihan studi tingkat lanjut bagi siswa SMA Muhammadiyah, terbukti bahwa
algoritma Analitical Hierarchy Process lebih efektif untuk menyelesaikan
permasalahan yang lebih komplek. Algoritma Analitical Hierarchy Process
merupakan salah satu algoritma heuristik yang memiliki kelebihan dalam hal
menyimpan solusi-solusi yang telah didapatkan sebelumnya. Penelitian ini
bertujuan untuk mengaplikasikan algoritma Analitical Hierarchy Process dalam
perancangan penyaranan pemilihan studi tingkat lanjut bagi siswa SMA
Muhammadiyah. Pengaplikasian Analitical Hierarchy Process yang telah
dibahasakan ke bahasa pemrograman PHP mampu menghasilkan saran dalam
hasil akhir program, dimana saran tersebut hanya untuk membantu siswa dalam
memilih studi tingkat lanjut pada perguruan tinggi yang banyak akan pilihan
jurusan.",Aplikasi pendukung keputusan
"ii, 104 hal.; 28 cm.","Fahmi Ardi,Iwan Wahyudin",Analisa dan perancangan sistem monografi kependudukan pada E-government Kabupaten Tangerang,"/dspace/browse?type=author&value=Fahmi+Ardi,/dspace/browse?type=author&value=Iwan+Wahyudin,http://repository.uinjkt.ac.id/dspace/handle/123456789/710,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta: Fakultas  Sains Dan Teknologi, 2010","Monografi Kependudukan, E-Government, Waterfall,
Web Based."
,"Khairul Fahmi,Nia Kumaladewi",ANALISIS DAN PERANCANGAN APLIKASI POINT OF SALES (POS) PADA PT. PURI JAYA MARMER,"/dspace/browse?type=author&value=Khairul+Fahmi,/dspace/browse?type=author&value=Nia+Kumaladewi,http://repository.uinjkt.ac.id/dspace/handle/123456789/785,/dspace/handle/123456789/160",612,UIN Syarif Hidayatullah Jakarta: Fakultas
,"Muhamad Syamsul Arifin,Husni Teja",Implementasi dan pengembangan aplikasi kerjasama kesehatan medical check up pada rumah sakit citra medika cibitung- Bekasi-Jawa Barat,"/dspace/browse?type=author&value=Muhamad+Syamsul+Arifin,/dspace/browse?type=author&value=Husni+Teja,http://repository.uinjkt.ac.id/dspace/handle/123456789/657,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta: Fakultas Sains Dan Teknologi, 2010","Rapid Application Develovment, Kesehatan, Medical Check Up, Rumah Sakit"
"ii,  194 hal.; 22 cm.","Sarika,Yusuf Durachman",Pengembangan sistem informasi manajemen surat keputusan studi kasus: subbagian administrasi kepegawaian pusat UIN Syarif Hidayatullah Jakarta,"/dspace/browse?type=author&value=Sarika,/dspace/browse?type=author&value=Yusuf+Durachman,http://repository.uinjkt.ac.id/dspace/handle/123456789/2768,/dspace/handle/123456789/160","UIN Syarif Hidayatullah Jakarta: Fakultas Sains dan Teknologi, 2011",Rapid Application Development;Sistem informasi;Manajemen surat;Kepututsan surat
"ii, 142 hal.; 22cm.","Riki Danang Surahman,Nur Aeni Hidayah",Aplikasi sistem informasi akademik berbasisi WAP pada SMP Perwira Jakarta,"/dspace/browse?type=author&value=Riki+Danang+Surahman,/dspace/browse?type=author&value=Nur+Aeni+Hidayah,http://repository.uinjkt.ac.id/dspace/handle/123456789/2895,/dspace/handle/123456789/160",Fakultas Sains Dan Teknologi Uin Syarif Hidayatullah Jakarta,Akademik;Wap;RAD;SMP Perwira
